epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0144,0.59563,1.40415,0.90077,0.49399,0.55734,0.32487,0.28264,0.87683,inf,1.05181,0.000542437,0.000542437,0.000542437
2,38.9827,0.61055,0.66215,0.91084,0.4992,0.52413,0.4524,0.23499,nan,nan,nan,0.00108723,0.00108723,0.00108723
3,47.1014,0.66374,0.57823,0.9166,0.97663,0.46347,0.48664,0.40141,1.0289,3.1311,1.20983,0.00162103,0.00162103,0.00162103
4,55.0219,0.61492,0.52485,0.91483,0.61417,0.69373,0.84283,0.7308,0.60632,2.70398,0.85923,0.00161749,0.00161749,0.00161749
5,62.9288,0.5523,0.47837,0.90014,0.96045,0.7721,0.81291,0.70965,0.68706,1.17228,0.95045,0.00160099,0.00160099,0.00160099
6,70.7142,0.52915,0.46035,0.8845,0.97626,0.93951,0.9738,0.8846,0.45868,0.5867,0.81184,0.00158448,0.00158448,0.00158448
7,79.2365,0.5145,0.41615,0.87956,0.98942,0.9965,0.99497,0.92052,0.39446,0.38151,0.79554,0.00156798,0.00156798,0.00156798
8,87.9561,0.48968,0.4151,0.87639,0.99663,0.97906,0.99491,0.90251,0.46206,0.43503,0.80334,0.00155148,0.00155148,0.00155148
9,95.7779,0.47696,0.397,0.87105,0.99547,0.99126,0.99489,0.92456,0.37746,0.49947,0.78662,0.00153497,0.00153497,0.00153497
10,104.173,0.4792,0.38074,0.88409,0.99584,0.9965,0.99496,0.93518,0.39437,0.33076,0.79662,0.00151847,0.00151847,0.00151847
11,112.572,0.46013,0.37386,0.87192,0.99199,0.99484,0.99497,0.92373,0.39243,0.31579,0.788,0.00150197,0.00150197,0.00150197
12,120.371,0.43106,0.34955,0.85376,0.99223,0.99589,0.99496,0.89964,0.4462,0.31976,0.78988,0.00148546,0.00148546,0.00148546
13,128.183,0.41621,0.33685,0.84957,0.99623,0.99547,0.99498,0.96237,0.32234,0.27534,0.77763,0.00146896,0.00146896,0.00146896
14,136.099,0.4044,0.32582,0.84199,0.9974,0.99374,0.99495,0.93401,0.34542,0.27911,0.77821,0.00145246,0.00145246,0.00145246
15,143.898,0.39395,0.32402,0.84172,0.99963,0.99474,0.99498,0.92955,0.35943,0.2848,0.78467,0.00143595,0.00143595,0.00143595
16,152.45,0.38224,0.31103,0.83969,0.99665,0.99483,0.99498,0.96754,0.29313,0.26558,0.77395,0.00141945,0.00141945,0.00141945
17,160.442,0.36635,0.29568,0.84609,0.99841,0.99471,0.995,0.96679,0.2949,0.25103,0.77672,0.00140295,0.00140295,0.00140295
18,168.692,0.35831,0.28978,0.83766,0.99746,0.9965,0.99498,0.97828,0.27029,0.2455,0.7738,0.00138644,0.00138644,0.00138644
19,176.621,0.36851,0.29924,0.84258,0.99648,0.9965,0.99496,0.95876,0.30141,0.25055,0.77868,0.00136994,0.00136994,0.00136994
20,184.99,0.34496,0.2869,0.83303,0.9959,0.9965,0.995,0.96045,0.28091,0.23966,0.77496,0.00135344,0.00135344,0.00135344
21,193.238,0.35314,0.28989,0.83767,0.99664,0.9965,0.99498,0.97787,0.26362,0.2551,0.7686,0.00133693,0.00133693,0.00133693
22,201.499,0.3491,0.2881,0.83478,0.99782,0.99488,0.99498,0.96796,0.28162,0.24434,0.77291,0.00132043,0.00132043,0.00132043
23,209.306,0.32597,0.2744,0.82456,0.9931,0.9965,0.995,0.96957,0.27514,0.24093,0.77254,0.00130393,0.00130393,0.00130393
